Time,total_volume
7/5/2024,41408.4313876391
7/6/2024,11413.7484760001
7/7/2024,8791.33392810004
7/8/2024,29690.3102103097
7/9/2024,19508.1676940198
7/10/2024,17890.1607530097
7/11/2024,19624.2165566797
7/12/2024,17364.80105856
7/13/2024,7632.48769348002
7/14/2024,10604.68754511
7/15/2024,29751.18268407
7/16/2024,22826.1887786097
7/17/2024,15735.88018993
7/18/2024,12060.4532311599
7/19/2024,22138.0682180399
7/20/2024,7301.49589514001
7/21/2024,10114.00082142
7/22/2024,17433.1962579398
7/23/2024,17357.5489169998
7/24/2024,12573.9735854099
7/25/2024,16282.1799934397
7/26/2024,14772.34185756
7/27/2024,15546.1544517605
7/28/2024,5444.35871062984
7/29/2024,20944.7344154315
7/30/2024,13545.8405950798
7/31/2024,13560.6331313799
8/1/2024,23794.8054040799
8/2/2024,23972.2452188197
8/3/2024,13821.1440220599
8/4/2024,17242.934678
8/5/2024,91662.6057210009
8/6/2024,27201.40658546
8/7/2024,22980.86586211
8/8/2024,30759.7400427004
8/9/2024,17384.0021411998
8/10/2024,5355.33313479998
8/11/2024,8861.79867707993
8/12/2024,19349.4596988998
8/13/2024,17676.13773612
8/14/2024,19724.6423943596
8/15/2024,22509.8475445599
8/16/2024,17803.8409401498
8/17/2024,4530.23740851
8/18/2024,7437.14328119998
8/19/2024,13054.7308096899
8/20/2024,17781.0328317797
8/21/2024,19373.7017797595
8/22/2024,14209.3409189699
8/23/2024,24382.2814149796
8/24/2024,7641.24760000001
8/25/2024,6226.66677286996
8/26/2024,14616.7180599899
8/27/2024,20237.22997417
8/28/2024,16301.75999513
8/29/2024,16889.07295694
8/30/2024,15330.9048015197
8/31/2024,3452.92179152
9/1/2024,8649.97824646998
9/2/2024,8483.55313500001
9/3/2024,13094.6381165799
9/4/2024,20561.3233897798
9/5/2024,18326.9765505499
9/6/2024,27515.9680788295
9/7/2024,7017.82032497999
9/8/2024,7205.11329572999
9/9/2024,18022.0259221598
9/10/2024,10584.5043269199
9/11/2024,15803.7342446199
9/12/2024,5110.71168813
9/13/2024,6047.39997797999
9/14/2024,4709.96057975999
9/15/2024,7276.95517524999
9/16/2024,11929.29699497
9/17/2024,18569.10173354
9/18/2024,18581.8320255797
9/19/2024,22589.7798298099
9/20/2024,14996.4510847199
9/21/2024,3881.15058023
9/22/2024,5939.63585595999
9/23/2024,11388.61532745
9/24/2024,13375.26541929
9/25/2024,9335.90186499007
9/26/2024,18606.1676957595
9/27/2024,13727.8899613299
9/28/2024,4114.98749967
9/29/2024,3964.39549759
9/30/2024,16159.36490538
10/1/2024,23118.0701611201
10/2/2024,14667.03334998
10/3/2024,11886.2521494301
10/4/2024,11957.3099191101
10/5/2024,3189.49319458
10/6/2024,4047.1867346
10/7/2024,15812.7884639499
10/8/2024,10099.76981868
10/9/2024,11442.43870242
10/10/2024,15517.2498797898
10/11/2024,16050.0852202601
10/12/2024,5871.51388060001
10/13/2024,4375.53500472
10/14/2024,20722.7501963603
10/15/2024,24246.3240962805
10/16/2024,18448.9828494898
10/17/2024,11817.7976451901
10/18/2024,16922.7810759998
10/19/2024,3075.65537400999
10/20/2024,4525.52372421001
10/21/2024,15583.6600585599
10/22/2024,12780.91129645
10/23/2024,13334.409286
10/24/2024,14171.07584736
10/25/2024,19409.6279674101
10/26/2024,4160.46713661
10/27/2024,4578.02507992999
10/28/2024,21283.0566862501
10/29/2024,31458.9714920396
10/30/2024,18146.22068904
10/31/2024,19031.1904805897
11/1/2024,20821.0673479196
